sessionid,cookievalue,customerid,journeycode,pageid,formtype,producturl,normalizedproducturl,productcode,vecategoryname,productcategory,productname,bigimageurl,country,smallimageurl,productdescription,currency,price,priceandcurrency,culture,oldprice,stock,size,height,width,dimensions,color,basket,purchases,views,currentstatus,nextpageid,timeelapsed,browserfamily,osfamily,devicetype,country_iso_code,lastupdate,datehour
cc352f2f-296c-4a38-b04e-f0b6e871010a,9b929e1a-e319-4f3d-aa84-439f5777652f,5688,6F3541A7-9B81-45B1-B3E0-A9CE49DCFAFB,1517156717653,2,//www.madamevacances.com/etab.php?lang=fr&id=0&date=2018-02-24&duree=7,//www.madamevacances.com/etab.php?lang=fr&id=0&date=2018-02-24&duree=7,NULL,Uncategorized,NULL,Les Chalets du Berger***,NULL,NULL,https://www.madamevacances.com/ws_image.cgi?idetab_resalys=70&date_debut=2018-02-24&id_etab_room_resalys=BBF,Location - appartement 2 Pièces 4 personnes,EUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,NULL,NULL,IE,Windows 7,pc,FR,2018-01-28T16:24:19.150Z,20180128
812d706e-f32c-4b4f-b0aa-99fee3256a33,875112cd-3286-4a67-a038-3c7d2310911e,5688,6F3541A7-9B81-45B1-B3E0-A9CE49DCFAFB,1517156584054,2,//www.madamevacances.com/etab.php?lang=fr&id=0&date=2018-08-05&duree=14,//www.madamevacances.com/etab.php?lang=fr&id=0&date=2018-08-05&duree=14,NULL,Uncategorized,NULL,Résidence Les Rives Marines ***,NULL,NULL,https://www.madamevacances.com/ws_image.cgi?idetab_resalys=342&date_debut=2018-08-05&id_etab_room_resalys=BBQ,Location - Appartement 2 pièces - 4/5 personnes,EUR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,NULL,NULL,IE,Windows 7,pc,FR,2018-01-28T16:23:02.820Z,20180128
46530d15-acc6-408a-aa43-e269ef372b3d,a23ca5d1-5998-4471-9e89-a0e826c2854f,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517104580526,4,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,NULL,Uncategorized,Vattenskotrar,Sea-Doo Spark 3up 88 Sport Edition 110 hk,NULL,NULL,http://88motorsport.se/8819-large_default/sea-doo-spark-3up-88-sport-edition-110-hk.jpg,Sea-Doo Spark 3up 88 Sport Edition 110 hk,SEK,89900.0,"89 900,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517104580526,0,Chrome,Mac OS X,pc,CH,2018-01-28T01:56:13.620Z,20180128
46530d15-acc6-408a-aa43-e269ef372b3d,a23ca5d1-5998-4471-9e89-a0e826c2854f,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517104580526,4,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,NULL,Uncategorized,Vattenskotrar,Sea-Doo Spark 3up 88 Sport Edition 110 hk,NULL,NULL,http://88motorsport.se/8819-large_default/sea-doo-spark-3up-88-sport-edition-110-hk.jpg,Sea-Doo Spark 3up 88 Sport Edition 110 hk,SEK,89900.0,"89 900,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517104580526,0,Chrome,Mac OS X,pc,CH,2018-01-28T01:56:13.620Z,20180128
46530d15-acc6-408a-aa43-e269ef372b3d,a23ca5d1-5998-4471-9e89-a0e826c2854f,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517104580526,4,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,http://88motorsport.se/sea-doo/4092-sea-doo-spark-3up-88-sport-edition-110-hk.html,NULL,Uncategorized,Vattenskotrar,Sea-Doo Spark 3up 88 Sport Edition 110 hk,NULL,NULL,http://88motorsport.se/8819-large_default/sea-doo-spark-3up-88-sport-edition-110-hk.jpg,Sea-Doo Spark 3up 88 Sport Edition 110 hk,SEK,89900.0,"89 900,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517104678247,97721,Chrome,Mac OS X,pc,CH,2018-01-28T01:56:13.620Z,20180128
99c71d56-3173-4ec2-aaa1-fbfc58b95565,340a49f2-da38-4a65-99ea-2df0698d13e9,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517135357226,4,http://88motorsport.se/servicekit/1421-yamaha-4-takt-1800cc-service-kit-lucas-oil.html,http://88motorsport.se/servicekit/1421-yamaha-4-takt-1800cc-service-kit-lucas-oil.html,88SKYLO,Uncategorized,ServiceKit,Yamaha 4-takt (1800cc) Service Kit,NULL,NULL,http://88motorsport.se/2757-large_default/yamaha-4-takt-1800cc-service-kit-lucas-oil.jpg,Yamaha 4-takt (1800cc) Service Kit.,SEK,1134.0,"1 134,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517135509425,152199,Samsung Internet,Android,mobile,SE,2018-01-28T10:29:16.040Z,20180128
26609dfc-46f7-43cd-bcd2-23e924dcd9ec,085cb227-75e5-4685-872d-1c32b71bea52,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517171095229,4,http://88motorsport.se/servicekit/1421-yamaha-4-takt-1800cc-service-kit-lucas-oil.html,http://88motorsport.se/servicekit/1421-yamaha-4-takt-1800cc-service-kit-lucas-oil.html,88SKYLO,Uncategorized,ServiceKit,Yamaha 4-takt (1800cc) Service Kit,NULL,NULL,http://88motorsport.se/2757-large_default/yamaha-4-takt-1800cc-service-kit-lucas-oil.jpg,Yamaha 4-takt (1800cc) Service Kit.,SEK,1134.0,"1 134,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517171367592,272363,Chrome,Windows 7,pc,SE,2018-01-28T20:24:57.760Z,20180128
51de636d-5b5b-42d7-b574-1aae26c1ff1e,7bf530b9-a959-4173-b7cd-dcf6a6beef60,8963,B7B0C32F-376F-4BCE-8F29-B3F61068A516,1517149993743,4,http://88motorsport.se/vattenskoter-batlyftar/1942-batlyft-for-bat-perfekt-for-sealver-med-skoter-i.html,http://88motorsport.se/vattenskoter-batlyftar/1942-batlyft-for-bat-perfekt-for-sealver-med-skoter-i.html,SSV20100,Uncategorized,Sealver-båtmodeller,Båtlyft för båt-perfekt för Sealver med skoter,NULL,NULL,http://88motorsport.se/4167-large_default/batlyft-for-bat-perfekt-for-sealver-med-skoter-i.jpg,Denna lyft har en bevisad kvalite med tusentals nöjda kunder världen över. Med sin unika vinsch ger den ett betydligt bättre och enklare lyft än övriga traditionella lyftar. Hjulet till vinschen låser sig automatiskt allt eftersom du snurrar på det med inbyggd broms. Med sin V form kan du även ha den på grunt vatten och centrering blir enklare.,SEK,49900.0,"49 900,00 SEK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,NULL,NULL,Mobile Safari,iOS,mobile,SE,2018-01-28T14:33:15.850Z,20180128
766bf6bf-4a98-46a4-8ed7-2f730225566b,6ac7a47d-ff23-43a5-82d1-42f3a5be76ec,24069,43B5C70A-F060-4DF0-BE33-35AC412F1134,1517168959719,4,http://action5.ru/aksessuary-dlya-gopro-6/?gsaid=76396&_gs_ref=0b97e7af6f35ea9d6de4458b8360a69a71ca8c8f&_gs_cttl=30&sub_id=shesyn33xjrc4w4kkocc&utm_medium=cpa&utm_content=76396&utm_source=gdeslon&utm_campaign=Kokoc,http://action5.ru/aksessuary-dlya-gopro-6/?gsaid=76396&sub_id=shesyn33xjrc4w4kkocc,Аксессуары для GoPro Hero 6 Black,Uncategorized,NULL,Аксессуары для GoPro Hero 6 Black,NULL,NULL,NULL,Аксессуары для GoPro Hero 6 Black,RUB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517168959719,0,Chrome,Mac OS X,pc,RU,2018-01-28T19:49:01.190Z,20180128
766bf6bf-4a98-46a4-8ed7-2f730225566b,6ac7a47d-ff23-43a5-82d1-42f3a5be76ec,24069,43B5C70A-F060-4DF0-BE33-35AC412F1134,1517168959719,4,http://action5.ru/aksessuary-dlya-gopro-6/?gsaid=76396&_gs_ref=0b97e7af6f35ea9d6de4458b8360a69a71ca8c8f&_gs_cttl=30&sub_id=shesyn33xjrc4w4kkocc&utm_medium=cpa&utm_content=76396&utm_source=gdeslon&utm_campaign=Kokoc,http://action5.ru/aksessuary-dlya-gopro-6/?gsaid=76396&sub_id=shesyn33xjrc4w4kkocc,Аксессуары для GoPro Hero 6 Black,Uncategorized,NULL,Аксессуары для GoPro Hero 6 Black,NULL,NULL,NULL,Аксессуары для GoPro Hero 6 Black,RUB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,2,1517169087522,127803,Chrome,Mac OS X,pc,RU,2018-01-28T19:49:01.190Z,20180128
